Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1672326000000,2022-12-29 15:00:00,BTCUSDT,16625.6,16658.3,16604.0,16610.1,10408.916,173117771.8975,49695
1672322400000,2022-12-29 14:00:00,BTCUSDT,16610.2,16659.0,16595.0,16625.6,17017.154,282952621.201,73293
1672318800000,2022-12-29 13:00:00,BTCUSDT,16612.5,16650.0,16586.6,16610.2,18663.894,310215238.0397,78613
1672315200000,2022-12-29 12:00:00,BTCUSDT,16593.8,16619.2,16584.0,16612.5,6261.661,103941116.6083,32591
1672311600000,2022-12-29 11:00:00,BTCUSDT,16600.3,16616.2,16582.1,16593.8,5569.19,92435266.6252,31986
1672308000000,2022-12-29 10:00:00,BTCUSDT,16587.1,16606.3,16574.2,16600.3,6479.924,107498524.4115,36828
1672304400000,2022-12-29 09:00:00,BTCUSDT,16525.9,16628.6,16525.9,16587.0,18923.181,313767371.6212,84059
1672300800000,2022-12-29 08:00:00,BTCUSDT,16553.0,16563.9,16514.6,16526.0,9580.836,158384917.6626,42556
1672297200000,2022-12-29 07:00:00,BTCUSDT,16560.1,16567.1,16529.5,16553.0,7875.578,130299928.9376,36031
1672293600000,2022-12-29 06:00:00,BTCUSDT,16570.6,16575.3,16553.4,16560.2,4015.612,66512436.9541,22865
1672290000000,2022-12-29 05:00:00,BTCUSDT,16564.3,16575.1,16553.1,16570.5,3845.7,63695518.4157,22944
1672286400000,2022-12-29 04:00:00,BTCUSDT,16553.1,16574.0,16534.8,16564.3,6629.508000000001,109744976.7082,34269
1672282800000,2022-12-29 03:00:00,BTCUSDT,16535.9,16556.8,16529.8,16553.2,4577.127,75716874.603,25793
1672279200000,2022-12-29 02:00:00,BTCUSDT,16541.6,16546.7,16485.1,16535.9,13083.775,216123203.1712,63054
1672275600000,2022-12-29 01:00:00,BTCUSDT,16575.8,16579.5,16536.3,16541.7,5739.2519999999995,95001885.4186,30214
1672272000000,2022-12-29 00:00:00,BTCUSDT,16538.9,16588.6,16534.9,16575.7,10624.725,175913758.0075,48367
1672268400000,2022-12-28 23:00:00,BTCUSDT,16511.4,16552.2,16504.5,16539.0,12358.995,204330167.9965,55559
1672264800000,2022-12-28 22:00:00,BTCUSDT,16521.0,16534.8,16470.1,16511.4,11743.961000000001,193758814.2859,68123
1672261200000,2022-12-28 21:00:00,BTCUSDT,16591.3,16591.7,16455.6,16520.9,42577.523,703013279.03014,171175
1672257600000,2022-12-28 20:00:00,BTCUSDT,16589.7,16607.3,16571.8,16591.2,7156.366999999999,118733087.1577,37281
1672254000000,2022-12-28 19:00:00,BTCUSDT,16625.1,16637.7,16585.3,16589.6,6715.929,111536304.3377,37451
1672250400000,2022-12-28 18:00:00,BTCUSDT,16635.0,16660.0,16610.6,16625.0,9702.341,161421077.8613,46728
1672246800000,2022-12-28 17:00:00,BTCUSDT,16602.1,16648.8,16585.0,16635.0,9842.895,163572813.8241,51214
1672243200000,2022-12-28 16:00:00,BTCUSDT,16571.3,16619.7,16555.8,16602.2,22385.232000000004,371332067.6556,101602
1672239600000,2022-12-28 15:00:00,BTCUSDT,16729.5,16778.3,16560.7,16571.3,50297.200999999994,837853738.3988,211836
1672236000000,2022-12-28 14:00:00,BTCUSDT,16642.4,16759.7,16621.0,16729.5,34022.334,568366724.4244,148938
1672232400000,2022-12-28 13:00:00,BTCUSDT,16646.5,16657.2,16634.1,16642.3,6026.601,100312910.5954,34236
1672228800000,2022-12-28 12:00:00,BTCUSDT,16672.0,16677.8,16644.0,16646.5,5886.084,98050947.6435,31852
1672225200000,2022-12-28 11:00:00,BTCUSDT,16658.2,16683.9,16651.6,16672.0,6363.616,106065633.5516,34777
1672221600000,2022-12-28 10:00:00,BTCUSDT,16650.5,16673.4,16639.4,16658.1,6470.363,107760583.4549,35335
1672218000000,2022-12-28 09:00:00,BTCUSDT,16635.1,16669.6,16625.3,16650.5,7158.107,119152950.7379,34533
1672214400000,2022-12-28 08:00:00,BTCUSDT,16639.1,16658.7,16623.3,16635.1,7236.549,120420930.9505,36613
1672210800000,2022-12-28 07:00:00,BTCUSDT,16604.8,16647.8,16604.7,16639.0,7412.568,123291034.3011,38379
1672207200000,2022-12-28 06:00:00,BTCUSDT,16597.2,16615.3,16586.0,16604.7,9356.998,155339992.4676,43642
1672203600000,2022-12-28 05:00:00,BTCUSDT,16653.7,16659.2,16580.6,16597.3,16074.839,267066594.2477,76577
1672200000000,2022-12-28 04:00:00,BTCUSDT,16643.2,16672.3,16635.7,16653.7,7257.664000000001,120860530.9822,37390
1672196400000,2022-12-28 03:00:00,BTCUSDT,16676.3,16685.7,16541.0,16643.3,33673.231,559421560.2579,139175
1672192800000,2022-12-28 02:00:00,BTCUSDT,16689.5,16706.9,16672.0,16676.4,4432.226,73957812.5565,27722
1672189200000,2022-12-28 01:00:00,BTCUSDT,16680.6,16745.0,16643.2,16689.4,12788.133999999998,213474185.8125,59327
1672185600000,2022-12-28 00:00:00,BTCUSDT,16698.2,16717.2,16664.0,16680.7,7710.1,128705516.0476,38023
1672182000000,2022-12-27 23:00:00,BTCUSDT,16682.1,16713.5,16675.9,16698.2,5897.684,98483805.7235,34206
1672178400000,2022-12-27 22:00:00,BTCUSDT,16696.4,16702.0,16678.5,16682.0,5519.179,92116554.8676,34276
1672174800000,2022-12-27 21:00:00,BTCUSDT,16658.4,16714.1,16646.3,16696.3,7955.232,132624157.4189,42734
1672171200000,2022-12-27 20:00:00,BTCUSDT,16681.3,16689.9,16651.0,16658.3,9923.424,165441613.1275,53599
1672167600000,2022-12-27 19:00:00,BTCUSDT,16630.9,16681.3,16580.0,16681.3,16782.16,279213800.5049,87888
1672164000000,2022-12-27 18:00:00,BTCUSDT,16673.0,16676.9,16608.4,16630.9,17174.939,285883767.533,88026
1672160400000,2022-12-27 17:00:00,BTCUSDT,16769.7,16776.0,16615.0,16673.0,32027.202999999998,534367176.9208,142878
1672156800000,2022-12-27 16:00:00,BTCUSDT,16790.7,16795.4,16749.5,16769.7,12167.141000000001,204070075.6356,62052
1672153200000,2022-12-27 15:00:00,BTCUSDT,16764.2,16833.4,16739.5,16790.7,21359.597999999998,358702985.8585,93751
1672149600000,2022-12-27 14:00:00,BTCUSDT,16811.1,16822.9,16723.2,16764.3,27517.627,461376990.6315,117539
1672146000000,2022-12-27 13:00:00,BTCUSDT,16803.1,16830.0,16795.8,16811.1,7102.084,119414276.008,35913
1672142400000,2022-12-27 12:00:00,BTCUSDT,16823.6,16831.3,16790.1,16803.2,10693.76,179807757.0326,47209
1672138800000,2022-12-27 11:00:00,BTCUSDT,16852.2,16854.3,16800.6,16823.7,13329.083999999999,224208008.1911,56056
1672135200000,2022-12-27 10:00:00,BTCUSDT,16869.7,16870.2,16841.9,16852.2,4493.502,75738842.4477,33566
1672131600000,2022-12-27 09:00:00,BTCUSDT,16840.5,16874.8,16832.0,16869.7,5917.076999999999,99701960.8348,33143
1672128000000,2022-12-27 08:00:00,BTCUSDT,16859.6,16864.4,16830.0,16840.4,7053.063,118841351.9104,38756
1672124400000,2022-12-27 07:00:00,BTCUSDT,16882.4,16882.4,16843.0,16859.6,4619.903,77905073.5622,28229
1672120800000,2022-12-27 06:00:00,BTCUSDT,16862.4,16884.0,16850.5,16882.4,4304.968,72608466.3664,26553
1672117200000,2022-12-27 05:00:00,BTCUSDT,16883.6,16888.0,16860.3,16862.3,3117.368,52600601.6792,22205
1672113600000,2022-12-27 04:00:00,BTCUSDT,16868.1,16885.8,16860.7,16883.6,3190.6609999999996,53829929.6385,20373
1672110000000,2022-12-27 03:00:00,BTCUSDT,16872.7,16875.0,16849.0,16868.1,3676.552,61986075.8336,22373
1672106400000,2022-12-27 02:00:00,BTCUSDT,16859.8,16883.8,16859.7,16872.6,4086.369,68952785.3613,24095
1672102800000,2022-12-27 01:00:00,BTCUSDT,16863.1,16881.8,16842.8,16859.8,6790.762,114498484.9741,34713
1672099200000,2022-12-27 00:00:00,BTCUSDT,16912.8,16968.0,16830.0,16863.0,28129.224,475634689.4337,123103
1672095600000,2022-12-26 23:00:00,BTCUSDT,16831.5,16936.8,16810.2,16912.9,19601.988,330906560.2415,87947
1672092000000,2022-12-26 22:00:00,BTCUSDT,16826.2,16840.9,16825.0,16831.5,2243.524,37763769.7097,15683
1672088400000,2022-12-26 21:00:00,BTCUSDT,16834.3,16845.2,16815.0,16826.2,2976.763,50106123.4357,18309
1672084800000,2022-12-26 20:00:00,BTCUSDT,16834.9,16839.9,16827.9,16834.2,2101.871,35383794.2093,14805
